Date : 2025-07-25 09:19:50
Directory : c:\MAIN FLUTTER\stockall
Total : 350 files,  582601 codes, 4551 comments, 13340 blanks, all 600492 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| build\web\assets\assets                                                                                                            |         29 |        229 |          2 |         16 |        247 |
| build\web\assets\assets\animations                                                                                                 |         11 |         11 |          0 |          0 |         11 |
| build\web\assets\assets\svgs                                                                                                       |         18 |        218 |          2 |         16 |        236 |
| build\web\assets\packages                                                                                                          |          1 |      2,119 |          0 |          0 |      2,119 |
| build\web\assets\packages\esc_pos_utils_plus                                                                                       |          1 |      2,119 |          0 |          0 |      2,119 |
| build\web\assets\packages\esc_pos_utils_plus\resources                                                                             |          1 |      2,119 |          0 |          0 |      2,119 |
| build\web\assets\shaders                                                                                                           |          1 |        126 |          0 |          0 |        126 |
| build\web\canvaskit                                                                                                                |          8 |    346,920 |          1 |     10,273 |    357,194 |
| build\web\canvaskit (Files)                                                                                                        |          6 |    239,999 |          1 |      7,361 |    247,361 |
| build\web\canvaskit\chromium                                                                                                       |          2 |    106,921 |          0 |      2,912 |    109,833 |
| ios                                                                                                                                |          9 |        136 |          4 |         13 |        153 |
| ios\Runner                                                                                                                         |          8 |        129 |          2 |          9 |        140 |
| ios\Runner (Files)                                                                                                                 |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                                                    |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                                         |          4 |         48 |          0 |          4 |         52 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                      |          1 |          1 |          0 |          0 |          1 |
| ios\Runner\Assets.xcassets\LaunchBackground.imageset                                                                               |          1 |         21 |          0 |          1 |         22 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                    |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                              |          2 |         68 |          2 |          2 |         72 |
| lib                                                                                                                                |        215 |     63,130 |      4,192 |      2,594 |     69,916 |
| lib (Files)                                                                                                                        |          2 |        385 |         99 |         44 |        528 |
| lib\classes                                                                                                                        |         20 |        910 |         67 |         92 |      1,069 |
| lib\components                                                                                                                     |         33 |      5,531 |         83 |        233 |      5,847 |
| lib\components (Files)                                                                                                             |          3 |        835 |         21 |         35 |        891 |
| lib\components\alert_dialogues                                                                                                     |          2 |        350 |          1 |         11 |        362 |
| lib\components\bar_chart                                                                                                           |          3 |        239 |          3 |         20 |        262 |
| lib\components\buttons                                                                                                             |          6 |        524 |          1 |         26 |        551 |
| lib\components\calendar                                                                                                            |          1 |        398 |          1 |         18 |        417 |
| lib\components\list_tiles                                                                                                          |          1 |        343 |          2 |         14 |        359 |
| lib\components\major                                                                                                               |          7 |      1,800 |         50 |         39 |      1,889 |
| lib\components\text_fields                                                                                                         |         10 |      1,042 |          4 |         70 |      1,116 |
| lib\constants                                                                                                                      |          7 |      6,705 |        475 |        234 |      7,414 |
| lib\helpers                                                                                                                        |          3 |         16 |         11 |          9 |         36 |
| lib\local_database                                                                                                                 |          1 |         77 |         11 |         21 |        109 |
| lib\local_database\local_user                                                                                                      |          1 |         77 |         11 |         21 |        109 |
| lib\pages                                                                                                                          |        128 |     45,033 |      2,673 |      1,337 |     49,043 |
| lib\pages (Files)                                                                                                                  |          1 |          0 |          0 |          2 |          2 |
| lib\pages\authentication                                                                                                           |         34 |      5,392 |        185 |        202 |      5,779 |
| lib\pages\authentication\auth_landing                                                                                              |          4 |        592 |          0 |         14 |        606 |
| lib\pages\authentication\auth_landing (Files)                                                                                      |          1 |         34 |          0 |          4 |         38 |
| lib\pages\authentication\auth_landing\platforms                                                                                    |          3 |        558 |          0 |         10 |        568 |
| lib\pages\authentication\auth_screens                                                                                              |          1 |         15 |          0 |          3 |         18 |
| lib\pages\authentication\base_page                                                                                                 |          1 |         49 |         55 |         11 |        115 |
| lib\pages\authentication\components                                                                                                |          2 |        213 |          0 |          7 |        220 |
| lib\pages\authentication\forgot_password_page                                                                                      |          4 |        563 |         40 |         37 |        640 |
| lib\pages\authentication\forgot_password_page (Files)                                                                              |          1 |         38 |          2 |          4 |         44 |
| lib\pages\authentication\forgot_password_page\enter_new_password                                                                   |          2 |        371 |         36 |         27 |        434 |
| lib\pages\authentication\forgot_password_page\enter_new_password (Files)                                                           |          1 |         44 |          8 |          7 |         59 |
| lib\pages\authentication\forgot_password_page\enter_new_password\platforms                                                         |          1 |        327 |         28 |         20 |        375 |
| lib\pages\authentication\forgot_password_page\platforms                                                                            |          1 |        154 |          2 |          6 |        162 |
| lib\pages\authentication\launch_screen                                                                                             |          1 |         28 |         15 |          5 |         48 |
| lib\pages\authentication\login                                                                                                     |          3 |        641 |         13 |         27 |        681 |
| lib\pages\authentication\login (Files)                                                                                             |          1 |         45 |          5 |          7 |         57 |
| lib\pages\authentication\login\platforms                                                                                           |          2 |        596 |          8 |         20 |        624 |
| lib\pages\authentication\sign_up                                                                                                   |          6 |      1,601 |         37 |         41 |      1,679 |
| lib\pages\authentication\sign_up (Files)                                                                                           |          2 |        142 |          0 |         13 |        155 |
| lib\pages\authentication\sign_up\platforms                                                                                         |          4 |      1,459 |         37 |         28 |      1,524 |
| lib\pages\authentication\splash_screens                                                                                            |          6 |        605 |          9 |         27 |        641 |
| lib\pages\authentication\splash_screens (Files)                                                                                    |          1 |         69 |          6 |          6 |         81 |
| lib\pages\authentication\splash_screens\platforms                                                                                  |          5 |        536 |          3 |         21 |        560 |
| lib\pages\authentication\splash_screens\platforms (Files)                                                                          |          3 |        428 |          3 |         13 |        444 |
| lib\pages\authentication\splash_screens\platforms\components                                                                       |          2 |        108 |          0 |          8 |        116 |
| lib\pages\authentication\verify_phone                                                                                              |          6 |      1,085 |         16 |         30 |      1,131 |
| lib\pages\authentication\verify_phone (Files)                                                                                      |          2 |        120 |          0 |          7 |        127 |
| lib\pages\authentication\verify_phone\platforms                                                                                    |          4 |        965 |         16 |         23 |      1,004 |
| lib\pages\customers                                                                                                                |          7 |      3,205 |         22 |         89 |      3,316 |
| lib\pages\customers\add_customer                                                                                                   |          2 |      2,048 |         11 |         43 |      2,102 |
| lib\pages\customers\add_customer (Files)                                                                                           |          1 |         53 |          0 |          6 |         59 |
| lib\pages\customers\add_customer\platforms                                                                                         |          1 |      1,995 |         11 |         37 |      2,043 |
| lib\pages\customers\components                                                                                                     |          1 |        116 |         10 |          4 |        130 |
| lib\pages\customers\customer_page                                                                                                  |          2 |        625 |          0 |         24 |        649 |
| lib\pages\customers\customer_page (Files)                                                                                          |          1 |         21 |          0 |          3 |         24 |
| lib\pages\customers\customer_page\platform                                                                                         |          1 |        604 |          0 |         21 |        625 |
| lib\pages\customers\customers_list                                                                                                 |          2 |        416 |          1 |         18 |        435 |
| lib\pages\customers\customers_list (Files)                                                                                         |          1 |         67 |          1 |          8 |         76 |
| lib\pages\customers\customers_list\platforms                                                                                       |          1 |        349 |          0 |         10 |        359 |
| lib\pages\dashboard                                                                                                                |         11 |      3,707 |        397 |        120 |      4,224 |
| lib\pages\dashboard (Files)                                                                                                        |          1 |         98 |          5 |         17 |        120 |
| lib\pages\dashboard\components                                                                                                     |          6 |      1,210 |         38 |         45 |      1,293 |
| lib\pages\dashboard\employee_auth_page                                                                                             |          1 |      1,019 |         42 |         16 |      1,077 |
| lib\pages\dashboard\platforms                                                                                                      |          3 |      1,380 |        312 |         42 |      1,734 |
| lib\pages\employees                                                                                                                |          7 |      1,854 |         12 |         86 |      1,952 |
| lib\pages\employees\add_employee_page                                                                                              |          2 |        716 |         10 |         31 |        757 |
| lib\pages\employees\add_employee_page (Files)                                                                                      |          1 |         41 |          0 |          6 |         47 |
| lib\pages\employees\add_employee_page\platforms                                                                                    |          1 |        675 |         10 |         25 |        710 |
| lib\pages\employees\components                                                                                                     |          1 |        156 |          0 |          5 |        161 |
| lib\pages\employees\employee_list                                                                                                  |          2 |        252 |          2 |         16 |        270 |
| lib\pages\employees\employee_list (Files)                                                                                          |          1 |         51 |          2 |          6 |         59 |
| lib\pages\employees\employee_list\platforms                                                                                        |          1 |        201 |          0 |         10 |        211 |
| lib\pages\employees\employee_page                                                                                                  |          2 |        730 |          0 |         34 |        764 |
| lib\pages\employees\employee_page (Files)                                                                                          |          1 |         21 |          0 |          3 |         24 |
| lib\pages\employees\employee_page\platforms                                                                                        |          1 |        709 |          0 |         31 |        740 |
| lib\pages\expenses                                                                                                                 |          9 |      2,277 |        104 |         93 |      2,474 |
| lib\pages\expenses (Files)                                                                                                         |          1 |         57 |          1 |          7 |         65 |
| lib\pages\expenses\add_expenses                                                                                                    |          2 |        398 |         13 |         21 |        432 |
| lib\pages\expenses\add_expenses (Files)                                                                                            |          1 |         45 |          0 |          4 |         49 |
| lib\pages\expenses\add_expenses\platforms                                                                                          |          1 |        353 |         13 |         17 |        383 |
| lib\pages\expenses\components                                                                                                      |          1 |        204 |          0 |          8 |        212 |
| lib\pages\expenses\platforms                                                                                                       |          1 |        499 |         10 |         10 |        519 |
| lib\pages\expenses\single_expense                                                                                                  |          2 |        563 |         38 |         29 |        630 |
| lib\pages\expenses\single_expense (Files)                                                                                          |          1 |         24 |          0 |          3 |         27 |
| lib\pages\expenses\single_expense\platform                                                                                         |          1 |        539 |         38 |         26 |        603 |
| lib\pages\expenses\total_expenses                                                                                                  |          2 |        556 |         42 |         18 |        616 |
| lib\pages\expenses\total_expenses (Files)                                                                                          |          1 |         20 |          0 |          3 |         23 |
| lib\pages\expenses\total_expenses\platforms                                                                                        |          1 |        536 |         42 |         15 |        593 |
| lib\pages\home                                                                                                                     |          1 |        145 |          5 |         12 |        162 |
| lib\pages\notifications                                                                                                            |          2 |        533 |          1 |         15 |        549 |
| lib\pages\notifications (Files)                                                                                                    |          1 |         58 |          1 |          7 |         66 |
| lib\pages\notifications\platforms                                                                                                  |          1 |        475 |          0 |          8 |        483 |
| lib\pages\products                                                                                                                 |         22 |      7,127 |      1,540 |        236 |      8,903 |
| lib\pages\products (Files)                                                                                                         |          1 |         72 |         13 |          7 |         92 |
| lib\pages\products\add_product_one                                                                                                 |          2 |      1,327 |        364 |         50 |      1,741 |
| lib\pages\products\add_product_one (Files)                                                                                         |          1 |         58 |          0 |          7 |         65 |
| lib\pages\products\add_product_one\platforms                                                                                       |          1 |      1,269 |        364 |         43 |      1,676 |
| lib\pages\products\add_products_three                                                                                              |          2 |          0 |        405 |         14 |        419 |
| lib\pages\products\add_products_three (Files)                                                                                      |          1 |          0 |         28 |          4 |         32 |
| lib\pages\products\add_products_three\platforms                                                                                    |          1 |          0 |        377 |         10 |        387 |
| lib\pages\products\add_products_two                                                                                                |          2 |          0 |        299 |         12 |        311 |
| lib\pages\products\add_products_two (Files)                                                                                        |          1 |          0 |         37 |          4 |         41 |
| lib\pages\products\add_products_two\platforms                                                                                      |          1 |          0 |        262 |          8 |        270 |
| lib\pages\products\compnents                                                                                                       |          8 |      1,561 |        261 |         50 |      1,872 |
| lib\pages\products\edit_product                                                                                                    |          2 |        538 |         22 |         17 |        577 |
| lib\pages\products\edit_product (Files)                                                                                            |          1 |        101 |          2 |          6 |        109 |
| lib\pages\products\edit_product\platforms                                                                                          |          1 |        437 |         20 |         11 |        468 |
| lib\pages\products\platforms                                                                                                       |          1 |        678 |         19 |         20 |        717 |
| lib\pages\products\product_details                                                                                                 |          3 |      2,245 |        133 |         47 |      2,425 |
| lib\pages\products\product_details (Files)                                                                                         |          1 |         29 |          0 |          3 |         32 |
| lib\pages\products\product_details\platforms                                                                                       |          2 |      2,216 |        133 |         44 |      2,393 |
| lib\pages\products\product_details\platforms (Files)                                                                               |          1 |      1,575 |        131 |         29 |      1,735 |
| lib\pages\products\product_details\platforms\components                                                                            |          1 |        641 |          2 |         15 |        658 |
| lib\pages\products\total_products                                                                                                  |          1 |        706 |         24 |         19 |        749 |
| lib\pages\profile                                                                                                                  |          4 |      1,082 |         64 |         41 |      1,187 |
| lib\pages\profile (Files)                                                                                                          |          1 |         56 |          1 |          7 |         64 |
| lib\pages\profile\edit                                                                                                             |          2 |        737 |         35 |         27 |        799 |
| lib\pages\profile\edit (Files)                                                                                                     |          1 |         64 |          0 |          4 |         68 |
| lib\pages\profile\edit\platforms                                                                                                   |          1 |        673 |         35 |         23 |        731 |
| lib\pages\profile\platforms                                                                                                        |          1 |        289 |         28 |          7 |        324 |
| lib\pages\referrals                                                                                                                |          2 |         98 |          1 |         10 |        109 |
| lib\pages\referrals (Files)                                                                                                        |          1 |         56 |          1 |          7 |         64 |
| lib\pages\referrals\platforms                                                                                                      |          1 |         42 |          0 |          3 |         45 |
| lib\pages\report                                                                                                                   |         10 |      7,221 |        165 |        178 |      7,564 |
| lib\pages\report (Files)                                                                                                           |          1 |         56 |          1 |          7 |         64 |
| lib\pages\report\customer_report                                                                                                   |          2 |        970 |         14 |         22 |      1,006 |
| lib\pages\report\customer_report (Files)                                                                                           |          1 |         20 |          0 |          3 |         23 |
| lib\pages\report\customer_report\platforms                                                                                         |          1 |        950 |         14 |         19 |        983 |
| lib\pages\report\general_report                                                                                                    |          2 |      2,567 |          9 |         64 |      2,640 |
| lib\pages\report\general_report (Files)                                                                                            |          1 |         20 |          0 |          3 |         23 |
| lib\pages\report\general_report\platforms                                                                                          |          1 |      2,547 |          9 |         61 |      2,617 |
| lib\pages\report\platforms                                                                                                         |          1 |        247 |          2 |          6 |        255 |
| lib\pages\report\product_report                                                                                                    |          2 |      1,604 |        111 |         35 |      1,750 |
| lib\pages\report\product_report (Files)                                                                                            |          1 |         20 |          0 |          3 |         23 |
| lib\pages\report\product_report\platforms                                                                                          |          1 |      1,584 |        111 |         32 |      1,727 |
| lib\pages\report\sales_and_revenue                                                                                                 |          2 |      1,777 |         28 |         44 |      1,849 |
| lib\pages\report\sales_and_revenue (Files)                                                                                         |          1 |         20 |          0 |          3 |         23 |
| lib\pages\report\sales_and_revenue\platforms                                                                                       |          1 |      1,757 |         28 |         41 |      1,826 |
| lib\pages\sales                                                                                                                    |         10 |      6,695 |        150 |        139 |      6,984 |
| lib\pages\sales\make_sales                                                                                                         |          6 |      5,254 |        131 |        102 |      5,487 |
| lib\pages\sales\make_sales\page1                                                                                                   |          2 |      2,617 |         53 |         45 |      2,715 |
| lib\pages\sales\make_sales\page1 (Files)                                                                                           |          1 |         69 |          1 |          9 |         79 |
| lib\pages\sales\make_sales\page1\platforms                                                                                         |          1 |      2,548 |         52 |         36 |      2,636 |
| lib\pages\sales\make_sales\page2                                                                                                   |          2 |        920 |          9 |         19 |        948 |
| lib\pages\sales\make_sales\page2 (Files)                                                                                           |          1 |         48 |          0 |          4 |         52 |
| lib\pages\sales\make_sales\page2\platforms                                                                                         |          1 |        872 |          9 |         15 |        896 |
| lib\pages\sales\make_sales\receipt_page                                                                                            |          2 |      1,717 |         69 |         38 |      1,824 |
| lib\pages\sales\make_sales\receipt_page (Files)                                                                                    |          1 |         29 |          0 |          3 |         32 |
| lib\pages\sales\make_sales\receipt_page\platforms                                                                                  |          1 |      1,688 |         69 |         35 |      1,792 |
| lib\pages\sales\sales_page                                                                                                         |          2 |        630 |         13 |         23 |        666 |
| lib\pages\sales\sales_page (Files)                                                                                                 |          1 |         73 |          3 |          8 |         84 |
| lib\pages\sales\sales_page\platforms                                                                                               |          1 |        557 |         10 |         15 |        582 |
| lib\pages\sales\total_sales                                                                                                        |          2 |        811 |          6 |         14 |        831 |
| lib\pages\sales\total_sales (Files)                                                                                                |          1 |         32 |          0 |          3 |         35 |
| lib\pages\sales\total_sales\platforms                                                                                              |          1 |        779 |          6 |         11 |        796 |
| lib\pages\shop_setup                                                                                                               |          8 |      5,697 |         27 |        114 |      5,838 |
| lib\pages\shop_setup (Files)                                                                                                       |          2 |      3,739 |         18 |         74 |      3,831 |
| lib\pages\shop_setup\banner_screen                                                                                                 |          2 |        657 |          6 |         16 |        679 |
| lib\pages\shop_setup\banner_screen (Files)                                                                                         |          1 |        268 |          0 |          4 |        272 |
| lib\pages\shop_setup\banner_screen\copy_staff_id                                                                                   |          1 |        389 |          6 |         12 |        407 |
| lib\pages\shop_setup\components                                                                                                    |          1 |        111 |          0 |          4 |        115 |
| lib\pages\shop_setup\create_category                                                                                               |          1 |        146 |          2 |          6 |        154 |
| lib\pages\shop_setup\shop_page                                                                                                     |          2 |      1,044 |          1 |         14 |      1,059 |
| lib\pages\shop_setup\shop_page (Files)                                                                                             |          1 |         20 |          0 |          3 |         23 |
| lib\pages\shop_setup\shop_page\platforms                                                                                           |          1 |      1,024 |          1 |         11 |      1,036 |
| lib\providers                                                                                                                      |         15 |      2,983 |        497 |        483 |      3,963 |
| lib\services                                                                                                                       |          5 |      1,089 |        226 |         96 |      1,411 |
| lib\services (Files)                                                                                                               |          1 |        193 |         22 |         30 |        245 |
| lib\services\printing                                                                                                              |          4 |        896 |        204 |         66 |      1,166 |
| lib\theme                                                                                                                          |          1 |        401 |         50 |         45 |        496 |
| linux                                                                                                                              |          9 |        350 |         37 |         92 |        479 |
| linux (Files)                                                                                                                      |          1 |        104 |          0 |         25 |        129 |
| linux\flutter                                                                                                                      |          4 |        130 |          9 |         27 |        166 |
| linux\runner                                                                                                                       |          4 |        116 |         28 |         40 |        184 |
| macos                                                                                                                              |          6 |        467 |          5 |         17 |        489 |
| macos\Flutter                                                                                                                      |          1 |         26 |          3 |          4 |         33 |
| macos\Runner                                                                                                                       |          4 |        434 |          0 |          9 |        443 |
| macos\Runner (Files)                                                                                                               |          2 |         23 |          0 |          7 |         30 |
| macos\RunnerTests                                                                                                                  |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                                                       |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                                    |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                                            |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                                               |          1 |         16 |         10 |          7 |         33 |
| web                                                                                                                                |          2 |        124 |         17 |         31 |        172 |
| windows                                                                                                                            |         14 |        699 |         94 |        188 |        981 |
| windows (Files)                                                                                                                    |          1 |         89 |          0 |         20 |        109 |
| windows\flutter                                                                                                                    |          4 |        148 |          9 |         29 |        186 |
| windows\runner                                                                                                                     |          9 |        462 |         85 |        139 |        686 |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| filename                                                                                                                           | language                | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| c:\MAIN FLUTTER\stockall\README.md                                                                                                 | Markdown                |         10 |          0 |          7 |         17 |
| c:\MAIN FLUTTER\stockall\analysis_options.yaml                                                                                     | YAML                    |          3 |         22 |          4 |         29 |
| c:\MAIN FLUTTER\stockall\android\app\src\debug\AndroidManifest.xml                                                                 | XML                     |          3 |          4 |          1 |          8 |
| c:\MAIN FLUTTER\stockall\android\app\src\main\AndroidManifest.xml                                                                  | XML                     |         58 |         11 |         17 |         86 |
| c:\MAIN FLUTTER\stockall\android\app\src\main\res\drawable-v21\launch_background.xml                                               | XML                     |          9 |          0 |          1 |         10 |
| c:\MAIN FLUTTER\stockall\android\app\src\main\res\drawable\launch_background.xml                                                   | XML                     |          9 |          0 |          1 |         10 |
| c:\MAIN FLUTTER\stockall\android\app\src\main\res\values-night-v31\styles.xml                                                      | XML                     |         12 |          7 |          1 |         20 |
| c:\MAIN FLUTTER\stockall\android\app\src\main\res\values-night\styles.xml                                                          | XML                     |         13 |          9 |          1 |         23 |
| c:\MAIN FLUTTER\stockall\android\app\src\main\res\values-v31\styles.xml                                                            | XML                     |         12 |          7 |          1 |         20 |
| c:\MAIN FLUTTER\stockall\android\app\src\main\res\values\styles.xml                                                                | XML                     |         13 |          9 |          1 |         23 |
| c:\MAIN FLUTTER\stockall\android\app\src\profile\AndroidManifest.xml                                                               | XML                     |          3 |          4 |          1 |          8 |
| c:\MAIN FLUTTER\stockall\android\gradle.properties                                                                                 | Properties              |          3 |          0 |          1 |          4 |
| c:\MAIN FLUTTER\stockall\android\gradle\wrapper\gradle-wrapper.properties                                                          | Properties              |          5 |          0 |          1 |          6 |
| c:\MAIN FLUTTER\stockall\assets\animations\cart_loader.json                                                                        | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\assets\animations\check_animation.json                                                                    | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\assets\animations\main_loader.json                                                                        | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\assets\animations\phone_verify.json                                                                       | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\assets\animations\profit.json                                                                             | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\assets\animations\search_1.json                                                                           | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\assets\animations\search_2.json                                                                           | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\assets\animations\search_3.json                                                                           | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\assets\animations\shop_setup_icon.json                                                                    | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\assets\animations\welcome.json                                                                            | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\assets\animations\welcome_robot.json                                                                      | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\assets\svgs\add_icon.svg                                                                                  | XML                     |          4 |          0 |          1 |          5 |
| c:\MAIN FLUTTER\stockall\assets\svgs\check_icon.svg                                                                                | XML                     |          9 |          0 |          1 |         10 |
| c:\MAIN FLUTTER\stockall\assets\svgs\cust_book_icon.svg                                                                            | XML                     |          5 |          0 |          1 |          6 |
| c:\MAIN FLUTTER\stockall\assets\svgs\customers_icon.svg                                                                            | XML                     |         24 |          0 |          1 |         25 |
| c:\MAIN FLUTTER\stockall\assets\svgs\delete_icon.svg                                                                               | XML                     |          3 |          0 |          1 |          4 |
| c:\MAIN FLUTTER\stockall\assets\svgs\edit_icon.svg                                                                                 | XML                     |          4 |          0 |          1 |          5 |
| c:\MAIN FLUTTER\stockall\assets\svgs\employees_icon.svg                                                                            | XML                     |         11 |          0 |          1 |         12 |
| c:\MAIN FLUTTER\stockall\assets\svgs\expenses_icon.svg                                                                             | XML                     |         19 |          0 |          1 |         20 |
| c:\MAIN FLUTTER\stockall\assets\svgs\make_sales_button.svg                                                                         | XML                     |         15 |          0 |          1 |         16 |
| c:\MAIN FLUTTER\stockall\assets\svgs\naira_icon.svg                                                                                | XML                     |          9 |          0 |          1 |         10 |
| c:\MAIN FLUTTER\stockall\assets\svgs\notif_icon.svg                                                                                | XML                     |         14 |          0 |          1 |         15 |
| c:\MAIN FLUTTER\stockall\assets\svgs\plus_icon.svg                                                                                 | XML                     |         12 |          1 |          0 |         13 |
| c:\MAIN FLUTTER\stockall\assets\svgs\product_icon.svg                                                                              | XML                     |         14 |          0 |          1 |         15 |
| c:\MAIN FLUTTER\stockall\assets\svgs\pulse_icon.svg                                                                                | XML                     |          9 |          0 |          1 |         10 |
| c:\MAIN FLUTTER\stockall\assets\svgs\receipt_icon.svg                                                                              | XML                     |         19 |          0 |          1 |         20 |
| c:\MAIN FLUTTER\stockall\assets\svgs\report_icon.svg                                                                               | XML                     |         14 |          0 |          1 |         15 |
| c:\MAIN FLUTTER\stockall\assets\svgs\sales_icon.svg                                                                                | XML                     |         14 |          0 |          1 |         15 |
| c:\MAIN FLUTTER\stockall\assets\svgs\whatsapp_logo_icon.svg                                                                        | XML                     |         19 |          1 |          0 |         20 |
| c:\MAIN FLUTTER\stockall\build.sh                                                                                                  | Shell Script            |          4 |          1 |          0 |          5 |
| c:\MAIN FLUTTER\stockall\build\web\assets\AssetManifest.bin.json                                                                   | JSON                    |          1 |          0 |          0 |          1 |
| c:\MAIN FLUTTER\stockall\build\web\assets\AssetManifest.json                                                                       | JSON                    |          1 |          0 |          0 |          1 |
