Date : 2025-07-25 09:19:50
Directory : c:\MAIN FLUTTER\stockall
Total : 350 files,  582601 codes, 4551 comments, 13340 blanks, all 600492 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| c:\MAIN FLUTTER\stockall\lib\pages\products\compnents\product_filter_button.dart                                                   | Dart                    |         64 |          0 |          5 |         69 |
| c:\MAIN FLUTTER\stockall\lib\pages\products\compnents\product_tile_cart_search.dart                                                | Dart                    |        468 |          2 |          7 |        477 |
| c:\MAIN FLUTTER\stockall\lib\pages\products\compnents\product_tile_main.dart                                                       | Dart                    |        511 |          1 |          7 |        519 |
| c:\MAIN FLUTTER\stockall\lib\pages\products\compnents\products_summary_tab.dart                                                    | Dart                    |        102 |          0 |          5 |        107 |
| c:\MAIN FLUTTER\stockall\lib\pages\products\compnents\receipt_tile_main.dart                                                       | Dart                    |          0 |        256 |         11 |        267 |
| c:\MAIN FLUTTER\stockall\lib\pages\products\compnents\search_product_tile.dart                                                     | Dart                    |         59 |          1 |          4 |         64 |
| c:\MAIN FLUTTER\stockall\lib\pages\products\edit_product\edit_products_page.dart                                                   | Dart                    |        101 |          2 |          6 |        109 |
| c:\MAIN FLUTTER\stockall\lib\pages\products\edit_product\platforms\edit_product_mobile.dart                                        | Dart                    |        437 |         20 |         11 |        468 |
| c:\MAIN FLUTTER\stockall\lib\pages\products\platforms\product_page_mobile.dart                                                     | Dart                    |        678 |         19 |         20 |        717 |
| c:\MAIN FLUTTER\stockall\lib\pages\products\product_details\platforms\components\edit_discount_page.dart                           | Dart                    |        641 |          2 |         15 |        658 |
| c:\MAIN FLUTTER\stockall\lib\pages\products\product_details\platforms\product_details_mobile.dart                                  | Dart                    |      1,575 |        131 |         29 |      1,735 |
| c:\MAIN FLUTTER\stockall\lib\pages\products\product_details\product_details_page.dart                                              | Dart                    |         29 |          0 |          3 |         32 |
| c:\MAIN FLUTTER\stockall\lib\pages\products\products_page.dart                                                                     | Dart                    |         72 |         13 |          7 |         92 |
| c:\MAIN FLUTTER\stockall\lib\pages\products\total_products\total_products_page.dart                                                | Dart                    |        706 |         24 |         19 |        749 |
| c:\MAIN FLUTTER\stockall\lib\pages\profile\edit\edit.dart                                                                          | Dart                    |         64 |          0 |          4 |         68 |
| c:\MAIN FLUTTER\stockall\lib\pages\profile\edit\platforms\edit_mobile.dart                                                         | Dart                    |        673 |         35 |         23 |        731 |
| c:\MAIN FLUTTER\stockall\lib\pages\profile\platforms\profile_page_mobile.dart                                                      | Dart                    |        289 |         28 |          7 |        324 |
| c:\MAIN FLUTTER\stockall\lib\pages\profile\profile_page.dart                                                                       | Dart                    |         56 |          1 |          7 |         64 |
| c:\MAIN FLUTTER\stockall\lib\pages\referrals\platforms\referrals_mobile.dart                                                       | Dart                    |         42 |          0 |          3 |         45 |
| c:\MAIN FLUTTER\stockall\lib\pages\referrals\referrals.dart                                                                        | Dart                    |         56 |          1 |          7 |         64 |
| c:\MAIN FLUTTER\stockall\lib\pages\report\customer_report\customer_report_page.dart                                                | Dart                    |         20 |          0 |          3 |         23 |
| c:\MAIN FLUTTER\stockall\lib\pages\report\customer_report\platforms\customer_report_mobile.dart                                    | Dart                    |        950 |         14 |         19 |        983 |
| c:\MAIN FLUTTER\stockall\lib\pages\report\general_report\general_report_page.dart                                                  | Dart                    |         20 |          0 |          3 |         23 |
| c:\MAIN FLUTTER\stockall\lib\pages\report\general_report\platforms\general_report_mobile.dart                                      | Dart                    |      2,547 |          9 |         61 |      2,617 |
| c:\MAIN FLUTTER\stockall\lib\pages\report\platforms\report_mobile.dart                                                             | Dart                    |        247 |          2 |          6 |        255 |
| c:\MAIN FLUTTER\stockall\lib\pages\report\product_report\platforms\product_report_mobile.dart                                      | Dart                    |      1,584 |        111 |         32 |      1,727 |
| c:\MAIN FLUTTER\stockall\lib\pages\report\product_report\product_report_page.dart                                                  | Dart                    |         20 |          0 |          3 |         23 |
| c:\MAIN FLUTTER\stockall\lib\pages\report\report_page.dart                                                                         | Dart                    |         56 |          1 |          7 |         64 |
| c:\MAIN FLUTTER\stockall\lib\pages\report\sales_and_revenue\platforms\sales_and_revenue_report_mobile.dart                         | Dart                    |      1,757 |         28 |         41 |      1,826 |
| c:\MAIN FLUTTER\stockall\lib\pages\report\sales_and_revenue\sales_and_revenue_report.dart                                          | Dart                    |         20 |          0 |          3 |         23 |
| c:\MAIN FLUTTER\stockall\lib\pages\sales\make_sales\page1\make_sales_page.dart                                                     | Dart                    |         69 |          1 |          9 |         79 |
| c:\MAIN FLUTTER\stockall\lib\pages\sales\make_sales\page1\platforms\make_sales_mobile.dart                                         | Dart                    |      2,548 |         52 |         36 |      2,636 |
| c:\MAIN FLUTTER\stockall\lib\pages\sales\make_sales\page2\make_sales_two.dart                                                      | Dart                    |         48 |          0 |          4 |         52 |
| c:\MAIN FLUTTER\stockall\lib\pages\sales\make_sales\page2\platforms\make_sales_mobile_two.dart                                     | Dart                    |        872 |          9 |         15 |        896 |
| c:\MAIN FLUTTER\stockall\lib\pages\sales\make_sales\receipt_page\platforms\receipt_page_mobile.dart                                | Dart                    |      1,688 |         69 |         35 |      1,792 |
| c:\MAIN FLUTTER\stockall\lib\pages\sales\make_sales\receipt_page\receipt_page.dart                                                 | Dart                    |         29 |          0 |          3 |         32 |
| c:\MAIN FLUTTER\stockall\lib\pages\sales\sales_page\platforms\sales_page_mobile.dart                                               | Dart                    |        557 |         10 |         15 |        582 |
| c:\MAIN FLUTTER\stockall\lib\pages\sales\sales_page\sales_page.dart                                                                | Dart                    |         73 |          3 |          8 |         84 |
| c:\MAIN FLUTTER\stockall\lib\pages\sales\total_sales\platforms\total_sales_mobile.dart                                             | Dart                    |        779 |          6 |         11 |        796 |
| c:\MAIN FLUTTER\stockall\lib\pages\sales\total_sales\total_sales_page.dart                                                         | Dart                    |         32 |          0 |          3 |         35 |
| c:\MAIN FLUTTER\stockall\lib\pages\shop_setup\banner_screen\copy_staff_id\copy_staff_id.dart                                       | Dart                    |        389 |          6 |         12 |        407 |
| c:\MAIN FLUTTER\stockall\lib\pages\shop_setup\banner_screen\shop_banner_screen.dart                                                | Dart                    |        268 |          0 |          4 |        272 |
| c:\MAIN FLUTTER\stockall\lib\pages\shop_setup\components\text_field.dart                                                           | Dart                    |        111 |          0 |          4 |        115 |
| c:\MAIN FLUTTER\stockall\lib\pages\shop_setup\create_category\create_category.dart                                                 | Dart                    |        146 |          2 |          6 |        154 |
| c:\MAIN FLUTTER\stockall\lib\pages\shop_setup\shop_page\platforms\shop_page_mobile.dart                                            | Dart                    |      1,024 |          1 |         11 |      1,036 |
| c:\MAIN FLUTTER\stockall\lib\pages\shop_setup\shop_page\shop_page.dart                                                             | Dart                    |         20 |          0 |          3 |         23 |
| c:\MAIN FLUTTER\stockall\lib\pages\shop_setup\shop_setup_page.dart                                                                 | Dart                    |        336 |          0 |         10 |        346 |
| c:\MAIN FLUTTER\stockall\lib\pages\shop_setup\shop_setup_two.dart                                                                  | Dart                    |      3,403 |         18 |         64 |      3,485 |
| c:\MAIN FLUTTER\stockall\lib\providers\comp_provider.dart                                                                          | Dart                    |        182 |         12 |         17 |        211 |
| c:\MAIN FLUTTER\stockall\lib\providers\customers_provider.dart                                                                     | Dart                    |        111 |        132 |         27 |        270 |
| c:\MAIN FLUTTER\stockall\lib\providers\data_provider.dart                                                                          | Dart                    |        510 |         57 |         72 |        639 |
| c:\MAIN FLUTTER\stockall\lib\providers\expenses_provider.dart                                                                      | Dart                    |        162 |         45 |         30 |        237 |
| c:\MAIN FLUTTER\stockall\lib\providers\nav_provider.dart                                                                           | Dart                    |         33 |          0 |         11 |         44 |
| c:\MAIN FLUTTER\stockall\lib\providers\notifications_provider.dart                                                                 | Dart                    |         96 |          1 |         17 |        114 |
| c:\MAIN FLUTTER\stockall\lib\providers\product_suggestions_provider.dart                                                           | Dart                    |        146 |         36 |         32 |        214 |
| c:\MAIN FLUTTER\stockall\lib\providers\receipts_provider.dart                                                                      | Dart                    |        712 |         80 |        106 |        898 |
| c:\MAIN FLUTTER\stockall\lib\providers\ref_provider.dart                                                                           | Dart                    |          0 |         89 |         16 |        105 |
| c:\MAIN FLUTTER\stockall\lib\providers\report_provider.dart                                                                        | Dart                    |        110 |          3 |         12 |        125 |
| c:\MAIN FLUTTER\stockall\lib\providers\sales_provider.dart                                                                         | Dart                    |        297 |          8 |         46 |        351 |
| c:\MAIN FLUTTER\stockall\lib\providers\shop_provider.dart                                                                          | Dart                    |        284 |         13 |         49 |        346 |
| c:\MAIN FLUTTER\stockall\lib\providers\theme_provider.dart                                                                         | Dart                    |         21 |          0 |          3 |         24 |
| c:\MAIN FLUTTER\stockall\lib\providers\user_provider.dart                                                                          | Dart                    |        248 |         20 |         41 |        309 |
| c:\MAIN FLUTTER\stockall\lib\providers\validate_input_provider.dart                                                                | Dart                    |         71 |          1 |          4 |         76 |
| c:\MAIN FLUTTER\stockall\lib\services\auth_service.dart                                                                            | Dart                    |        193 |         22 |         30 |        245 |
| c:\MAIN FLUTTER\stockall\lib\services\printing\import_helper.dart                                                                  | Dart                    |          3 |          0 |          1 |          4 |
| c:\MAIN FLUTTER\stockall\lib\services\printing\printer_service_mobile.dart                                                         | Dart                    |        861 |          8 |         42 |        911 |
| c:\MAIN FLUTTER\stockall\lib\services\printing\printer_service_stub.dart                                                           | Dart                    |         16 |          0 |          3 |         19 |
| c:\MAIN FLUTTER\stockall\lib\services\printing\printer_service_web.dart                                                            | Dart                    |         16 |        196 |         20 |        232 |
| c:\MAIN FLUTTER\stockall\lib\simple_bar_chart.dart                                                                                 | Dart                    |         75 |          0 |          4 |         79 |
| c:\MAIN FLUTTER\stockall\lib\theme\main_theme.dart                                                                                 | Dart                    |        401 |         50 |         45 |        496 |
| c:\MAIN FLUTTER\stockall\linux\CMakeLists.txt                                                                                      | CMake                   |        104 |          0 |         25 |        129 |
| c:\MAIN FLUTTER\stockall\linux\flutter\CMakeLists.txt                                                                              | CMake                   |         79 |          0 |         10 |         89 |
| c:\MAIN FLUTTER\stockall\linux\flutter\generated_plugin_registrant.cc                                                              | C++                     |         23 |          4 |          5 |         32 |
| c:\MAIN FLUTTER\stockall\linux\flutter\generated_plugin_registrant.h                                                               | C++                     |          5 |          5 |          6 |         16 |
| c:\MAIN FLUTTER\stockall\linux\flutter\generated_plugins.cmake                                                                     | CMake                   |         23 |          0 |          6 |         29 |
| c:\MAIN FLUTTER\stockall\linux\runner\CMakeLists.txt                                                                               | CMake                   |         21 |          0 |          6 |         27 |
| c:\MAIN FLUTTER\stockall\linux\runner\main.cc                                                                                      | C++                     |          5 |          0 |          2 |          7 |
| c:\MAIN FLUTTER\stockall\linux\runner\my_application.cc                                                                            | C++                     |         83 |         21 |         27 |        131 |
| c:\MAIN FLUTTER\stockall\linux\runner\my_application.h                                                                             | C++                     |          7 |          7 |          5 |         19 |
| c:\MAIN FLUTTER\stockall\macos\Flutter\GeneratedPluginRegistrant.swift                                                             | Swift                   |         26 |          3 |          4 |         33 |
| c:\MAIN FLUTTER\stockall\macos\RunnerTests\RunnerTests.swift                                                                       | Swift                   |          7 |          2 |          4 |         13 |
| c:\MAIN FLUTTER\stockall\macos\Runner\AppDelegate.swift                                                                            | Swift                   |         11 |          0 |          3 |         14 |
| c:\MAIN FLUTTER\stockall\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                                             | JSON                    |         68 |          0 |          1 |         69 |
| c:\MAIN FLUTTER\stockall\macos\Runner\Base.lproj\MainMenu.xib                                                                      | XML                     |        343 |          0 |          1 |        344 |
| c:\MAIN FLUTTER\stockall\macos\Runner\MainFlutterWindow.swift                                                                      | Swift                   |         12 |          0 |          4 |         16 |
| c:\MAIN FLUTTER\stockall\pubspec.yaml                                                                                              | YAML                    |         82 |         63 |         14 |        159 |
| c:\MAIN FLUTTER\stockall\test\widget_test.dart                                                                                     | Dart                    |         16 |         10 |          7 |         33 |
| c:\MAIN FLUTTER\stockall\web\index.html                                                                                            | HTML                    |         89 |         17 |         30 |        136 |
| c:\MAIN FLUTTER\stockall\web\manifest.json                                                                                         | JSON                    |         35 |          0 |          1 |         36 |
| c:\MAIN FLUTTER\stockall\windows\CMakeLists.txt                                                                                    | CMake                   |         89 |          0 |         20 |        109 |
| c:\MAIN FLUTTER\stockall\windows\flutter\CMakeLists.txt                                                                            | CMake                   |         98 |          0 |         12 |        110 |
| c:\MAIN FLUTTER\stockall\windows\flutter\generated_plugin_registrant.cc                                                            | C++                     |         21 |          4 |          5 |         30 |
| c:\MAIN FLUTTER\stockall\windows\flutter\generated_plugin_registrant.h                                                             | C++                     |          5 |          5 |          6 |         16 |
| c:\MAIN FLUTTER\stockall\windows\flutter\generated_plugins.cmake                                                                   | CMake                   |         24 |          0 |          6 |         30 |
| c:\MAIN FLUTTER\stockall\windows\runner\CMakeLists.txt                                                                             | CMake                   |         34 |          0 |          7 |         41 |
| c:\MAIN FLUTTER\stockall\windows\runner\flutter_window.cpp                                                                         | C++                     |         49 |          7 |         16 |         72 |
| c:\MAIN FLUTTER\stockall\windows\runner\flutter_window.h                                                                           | C++                     |         20 |          5 |          9 |         34 |
| c:\MAIN FLUTTER\stockall\windows\runner\main.cpp                                                                                   | C++                     |         30 |          4 |         10 |         44 |
| c:\MAIN FLUTTER\stockall\windows\runner\resource.h                                                                                 | C++                     |          9 |          6 |          2 |         17 |
| c:\MAIN FLUTTER\stockall\windows\runner\utils.cpp                                                                                  | C++                     |         54 |          2 |         10 |         66 |
| c:\MAIN FLUTTER\stockall\windows\runner\utils.h                                                                                    | C++                     |          8 |          6 |          6 |         20 |
| c:\MAIN FLUTTER\stockall\windows\runner\win32_window.cpp                                                                           | C++                     |        210 |         24 |         55 |        289 |
| c:\MAIN FLUTTER\stockall\windows\runner\win32_window.h                                                                             | C++                     |         48 |         31 |         24 |        103 |
| Total                                                                                                                              |                         |    582,601 |      4,551 |     13,340 |    600,492 |
+------------------------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
